player_pkey,Player,Team,Year,isOverseas,isBatsman,isBowler,isWicketKeeper,isCapped,UncappedAndPerformed,runs_per_match,matches_bat,strike_rate_bat,average_bat,wickets_per_match,matches_bowl,economy_rate,strike_rate_bowl,average_bowl,bat_powerplay,bat_death,bowl_powerplay,bowl_death,base,Amount
97,Dinesh Karthik,Royal Challengers Bangalore,2022,0,0,0,1,1,0,23.35064935,77,143.0389817,33.9245283,0,0,0,0,0,57.17690323,397.7821466,0,0,2,5.5
909,Dominic Drakes,Gujarat Titans,2022,1,1,1,0,1,0,12.75,4,154.5454545,17,0.5,8,9.673469388,59.25,36.75,0,94.335,21,12.27617413,0.75,1.1
286,Dushmanta Chameera,Lucknow Super Giants,2022,1,0,1,0,1,0,7.4,5,94.87179487,9.25,1,13,9.03202847,32.53846154,21.61538462,0,49.4223871,14.91017804,16.44385174,0.5,2
400,Dwaine Pretorius,Chennai Super Kings,2022,1,1,1,0,1,0,17.85714286,35,141.4027149,24.03846154,0.625,40,8.669001751,33,22.84,84.375,130.6856522,19.69787532,7.08838411,0.5,0.5
41,Dwayne Bravo,Chennai Super Kings,2022,1,1,1,0,1,0,13.3,80,142.6273458,20.8627451,1.196581197,117,8.537821782,25.66428571,18.03571429,50.31766667,396.9971259,13.95833972,11.74834375,2,4.4
39,Eoin Morgan,Kolkata Knight Riders,2020,1,1,0,0,1,0,1.2,10,35.29411765,2.4,1.097826087,92,7.809384164,26.36633663,20.25742574,0,23.55816667,14.15628452,12.0622609,2,5.25
103,Evin Lewis,Lucknow Super Giants,2022,1,1,0,0,1,0,26.52272727,88,141.3688674,28.46341463,0,0,0,0,0,875.8824309,88.86528571,0,0,2,2
224,Fabian Allen,Mumbai Indians,2022,1,1,1,0,1,0,19.96774194,31,165.0666667,28.13636364,0.620689655,29,7.729032258,33.27777778,25.83333333,12.54533333,242.4451878,13.97250745,8.439644219,0.75,0.75
224,Fabian Allen,Punjab Kings,2021,1,1,1,0,1,0,19.96774194,31,165.0666667,28.13636364,0.620689655,29,7.729032258,33.27777778,25.83333333,12.54533333,242.4451878,13.97250745,8.439644219,0.75,0.75
224,Fabian Allen,Sunrisers Hyderabad,2020,1,1,1,0,1,0,19.96774194,31,165.0666667,28.13636364,0.620689655,29,7.729032258,33.27777778,25.83333333,12.54533333,242.4451878,13.97250745,8.439644219,0.5,0.5
19,Faf Du Plessis,Royal Challengers Bangalore,2022,1,1,0,0,1,0,31.93939394,66,138.4110309,36.98245614,0,0,0,0,0,572.7073072,218.145461,0,0,2,7
4147,Fazalhaq Farooqi,Sunrisers Hyderabad,2022,1,0,1,0,1,0,0,1,0,0,0,1,11,0,0,0,0,0,0,0.5,0.5
3151,Finn Allen,Royal Challengers Bangalore,2022,1,1,0,0,1,0,46.54545455,11,193.9393939,56.88888889,0,1,8,0,0,300.841487,54.652,0,0,0.5,0.8
214,Glenn Maxwell,Royal Challengers Bangalore,2021,1,1,1,0,1,0,26.20754717,106,146.5189873,32.30232558,0.58974359,78,7.54333644,29.32608696,23.32608696,218.6958603,437.8246171,13.49497959,13.19537172,2,14.25
214,Glenn Maxwell,Kings XI Punjab,2020,1,1,1,0,1,0,26.20754717,106,146.5189873,32.30232558,0.58974359,78,7.54333644,29.32608696,23.32608696,218.6958603,437.8246171,13.49497959,13.19537172,2,10.75
544,Glenn Phillips,Sunrisers Hyderabad,2022,1,0,0,1,1,0,28.02439024,82,140.5504587,29.84415584,0.6,5,8.916666667,35.66666667,24,620.5284221,176.5395455,0,20.26347305,1.5,1.5
14,Gurkeerat Singh Mann,Gujarat Titans,2022,0,1,1,0,0,0,22.97058824,34,128.2430213,32.54166667,0.2,5,5.8,58,60,52.84066667,90.02618182,0,0,0.5,0.5
30,Harbhajan Singh,Kolkata Knight Riders,2021,0,0,1,0,1,0,9.076923077,13,93.65079365,9.833333333,0.885714286,35,7.437945792,28.03225806,22.61290323,52.20833333,12.66533333,14.00891915,5.538461538,1,2
