Name,Base,Sold,Team,Prev_team,Nationality,Role
ANUKUL ROY,0.2,0.2,KKR,MI,Indian,All-Rounder
BABA INDRAJITH,0.2,0.2,KKR,Nil,Indian,Wicket Keeper
PRATHAM SINGH,0.2,0.2,KKR,Nil,Indian,Batsman
RAMESH KUMAR,0.2,0.2,KKR,Nil,Indian,Batsman
RASIKH DAR,0.2,0.2,KKR,Nil,Indian,Bowler
AYUSH BADONI,0.2,0.2,LSG,Nil,Indian,All-Rounder
KARAN SHARMA,0.2,0.2,LSG,Nil,Indian,All-Rounder
MANAN VOHRA,0.2,0.2,LSG,RR,Indian,Batsman
MAYANK YADAV,0.2,0.2,LSG,Nil,Indian,Bowler
MOHSIN KHAN,0.2,0.2,LSG,MI,Indian,Bowler
ANMOLPREET SINGH,0.2,0.2,MI,MI,Indian,Batsman
ARSHAD KHAN,0.2,0.2,MI,Nil,Indian,All-Rounder
ARYAN JUYAL,0.2,0.2,MI,Nil,Indian,Wicket Keeper
HRITHIK SHOKEEN,0.2,0.2,MI,Nil,Indian,All-Rounder
RAHUL BUDDHI,0.2,0.2,MI,Nil,Indian,Batsman
RAMANDEEP SINGH,0.2,0.2,MI,Nil,Indian,All-Rounder
ANSH PATEL,0.2,0.2,PBKS,Nil,Indian,All-Rounder
ATHARVA TAIDE,0.2,0.2,PBKS,Nil,Indian,All-Rounder
BALTEJ SINGH,0.2,0.2,PBKS,Nil,Indian,Bowler
JITESH SHARMA,0.2,0.2,PBKS,Nil,Indian,Wicket Keeper
PRERAK MANKAD,0.2,0.2,PBKS,Nil,Indian,All-Rounder
WRITTICK CHATTERJEE,0.2,0.2,PBKS,Nil,Indian,All-Rounder
AKASH DEEP,0.2,0.2,RCB,RCB,Indian,Bowler
ANEESHWAR GAUTAM,0.2,0.2,RCB,Nil,Indian,All-Rounder
LUVNITH SISODIA,0.2,0.2,RCB,Nil,Indian,Wicket Keeper
ANUNAY SINGH,0.2,0.2,RR,Nil,Indian,All-Rounder
DHRUV JUREL,0.2,0.2,RR,Nil,Indian,Wicket Keeper
