Team,Player,Tournament,Matches,Batting Innings,Not Out,Runds Scored,Highest Score,Batting Average,Balls Faced,Batting Strike Rate,100,50,0,4s,6s,Bowling Innings,Overs Bowled,Maidens Bowled,Runs Conceded,Wickets Taken,Bowling Average,Bowling Economy Rate,Bowling Strike Rate,4+ Innings Wickets,5+ Innings Wickets,Catches Taken,Stumpings Made,Price
Delhi Daredevils,KK Nair,2016,14,12,2,357,2,35.7,297,120.2,0,3,0,40,6,0,0,0,0,0,0,0,0,0,0,3,0,40000000
Delhi Daredevils,KK Nair,2017,14,13,0,281,2,21.61,226,124.33,0,1,1,39,6,0,0,0,0,0,0,0,0,0,0,2,0,56000000
Kings XI Punjab,KK Nair,2018,13,12,0,301,2,25.08,221,136.19,0,2,0,23,13,0,0,0,0,0,0,0,0,0,0,9,0,56000000
Kings XI Punjab,KK Nair,2019,1,1,0,5,2,5,6,83.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000000
Royal Challengers Bangalore,KL Rahul,2016,14,12,3,397,2,44.11,271,146.49,0,4,1,37,16,0,0,0,0,0,0,0,0,0,0,5,4,80000000
Kings XI Punjab,KL Rahul,2018,14,14,2,659,2,54.91,416,158.41,0,6,0,66,32,0,0,0,0,0,0,0,0,0,0,10,1,110000000
Kings XI Punjab,KL Rahul,2019,14,14,3,593,2,53.9,438,135.38,1,6,0,49,25,0,0,0,0,0,0,0,0,0,0,7,0,120000000
Chennai Super Kings,KM Asif,2018,2,0,0,0,2,0,0,0,0,0,0,0,0,2,6,0,75,3,25,12.5,12,0,0,0,0,4000000
Royal Challengers Bangalore,KM Jadhav,2016,4,3,3,42,2,0,32,131.25,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,40000000
Royal Challengers Bangalore,KM Jadhav,2017,13,13,1,267,2,22.25,186,143.54,0,1,0,25,10,0,0,0,0,0,0,0,0,0,0,7,3,60000000
