pkey,created_on,last_updated_on,version,balls,fours,innings,maidens,no_balls,position,runs_0,runs,sixes,status,wickets,wide_balls,match_pkey,player_pkey
112,"2021-02-14 23:32:44",NULL,0,24,NULL,2,0,0,1,8,33,NULL,NULL,0,1,10,81
113,"2021-02-14 23:32:44",NULL,0,24,NULL,2,0,0,2,7,38,NULL,NULL,1,2,10,96
114,"2021-02-14 23:32:44",NULL,0,24,NULL,2,0,0,3,5,36,NULL,NULL,1,0,10,92
115,"2021-02-14 23:32:44",NULL,0,18,NULL,2,0,0,4,7,28,NULL,NULL,1,0,10,90
116,"2021-02-14 23:32:44",NULL,0,24,NULL,2,0,0,5,6,41,NULL,NULL,2,0,10,64
117,"2021-02-14 23:32:44",NULL,0,6,NULL,2,0,0,6,2,8,NULL,NULL,0,0,10,60
118,"2021-02-14 23:32:46",NULL,0,18,NULL,1,0,0,1,5,29,NULL,NULL,0,0,11,12
119,"2021-02-14 23:32:46",NULL,0,24,NULL,1,0,0,2,7,47,NULL,NULL,0,0,11,37
120,"2021-02-14 23:32:46",NULL,0,24,NULL,1,0,0,3,3,44,NULL,NULL,1,1,11,39
121,"2021-02-14 23:32:46",NULL,0,24,NULL,1,0,0,4,8,38,NULL,NULL,0,0,11,32
122,"2021-02-14 23:32:46",NULL,0,24,NULL,1,0,0,5,2,56,NULL,NULL,0,0,11,6
123,"2021-02-14 23:32:46",NULL,0,6,NULL,1,0,0,6,0,16,NULL,NULL,0,0,11,3
124,"2021-02-14 23:32:46",NULL,0,18,NULL,2,0,0,1,7,25,NULL,NULL,0,0,11,66
125,"2021-02-14 23:32:46",NULL,0,24,NULL,2,0,0,2,16,11,NULL,NULL,4,0,11,75
126,"2021-02-14 23:32:46",NULL,0,23,NULL,2,0,0,3,13,19,NULL,NULL,3,0,11,71
127,"2021-02-14 23:32:46",NULL,0,18,NULL,2,0,0,4,11,16,NULL,NULL,0,1,11,98
128,"2021-02-14 23:32:46",NULL,0,24,NULL,2,0,0,5,10,25,NULL,NULL,0,0,11,63
129,"2021-02-14 23:32:46",NULL,0,12,NULL,2,0,1,6,6,13,NULL,NULL,0,2,11,99
130,"2021-02-14 23:32:49",NULL,0,24,NULL,1,0,1,1,12,37,NULL,NULL,1,1,12,185
131,"2021-02-14 23:32:49",NULL,0,24,NULL,1,1,0,2,13,17,NULL,NULL,2,0,12,178
132,"2021-02-14 23:32:49",NULL,0,18,NULL,1,0,0,3,7,30,NULL,NULL,1,0,12,161
133,"2021-02-14 23:32:49",NULL,0,18,NULL,1,0,0,4,5,23,NULL,NULL,0,0,12,196
134,"2021-02-14 23:32:49",NULL,0,12,NULL,1,0,0,5,4,13,NULL,NULL,0,1,12,174
135,"2021-02-14 23:32:49",NULL,0,24,NULL,1,0,0,6,5,54,NULL,NULL,1,3,12,175
136,"2021-02-14 23:32:49",NULL,0,24,NULL,2,1,0,1,12,19,NULL,NULL,2,1,12,2
137,"2021-02-14 23:32:49",NULL,0,24,NULL,2,0,0,2,8,42,NULL,NULL,2,1,12,40
138,"2021-02-14 23:32:49",NULL,0,12,NULL,2,0,1,3,3,26,NULL,NULL,0,0,12,51
139,"2021-02-14 23:32:49",NULL,0,12,NULL,2,0,0,4,1,23,NULL,NULL,0,0,12,24
140,"2021-02-14 23:32:49",NULL,0,24,NULL,2,0,0,5,8,23,NULL,NULL,2,0,12,36
141,"2021-02-14 23:32:49",NULL,0,24,NULL,2,0,0,6,9,32,NULL,NULL,2,2,12,41
142,"2021-02-14 23:32:52",NULL,0,24,NULL,1,0,0,1,11,32,NULL,NULL,2,0,13,126
143,"2021-02-14 23:32:52",NULL,0,24,NULL,1,0,0,2,9,30,NULL,NULL,3,1,13,113
144,"2021-02-14 23:32:52",NULL,0,18,NULL,1,0,0,3,7,30,NULL,NULL,0,1,13,112
145,"2021-02-14 23:32:52",NULL,0,24,NULL,1,0,0,4,8,27,NULL,NULL,2,0,13,120
146,"2021-02-14 23:32:52",NULL,0,24,NULL,1,0,0,5,8,37,NULL,NULL,0,2,13,127
147,"2021-02-14 23:32:52",NULL,0,6,NULL,1,0,0,6,0,9,NULL,NULL,0,0,13,114
148,"2021-02-14 23:32:52",NULL,0,24,NULL,2,0,0,1,8,31,NULL,NULL,2,3,13,191
149,"2021-02-14 23:32:52",NULL,0,14,NULL,2,0,0,2,8,11,NULL,NULL,4,1,13,184
150,"2021-02-14 23:32:52",NULL,0,24,NULL,2,0,0,3,12,27,NULL,NULL,2,0,13,160
151,"2021-02-14 23:32:52",NULL,0,18,NULL,2,0,0,4,10,22,NULL,NULL,1,0,13,152
152,"2021-02-14 23:32:52",NULL,0,24,NULL,2,0,0,5,7,36,NULL,NULL,0,1,13,193
153,"2021-02-14 23:32:52",NULL,0,12,NULL,2,0,0,6,3,19,NULL,NULL,0,0,13,189
154,"2021-02-14 23:32:56",NULL,0,24,NULL,1,0,0,1,10,19,NULL,NULL,0,0,14,174
155,"2021-02-14 23:32:56",NULL,0,18,NULL,1,0,0,2,7,26,NULL,NULL,0,1,14,185
156,"2021-02-14 23:32:56",NULL,0,24,NULL,1,0,1,3,7,47,NULL,NULL,1,0,14,178
157,"2021-02-14 23:32:56",NULL,0,24,NULL,1,1,0,4,16,12,NULL,NULL,3,0,14,196
158,"2021-02-14 23:32:56",NULL,0,6,NULL,1,0,0,5,0,16,NULL,NULL,0,0,14,163
159,"2021-02-14 23:32:56",NULL,0,6,NULL,1,0,0,6,1,6,NULL,NULL,0,0,14,180
160,"2021-02-14 23:32:56",NULL,0,18,NULL,1,0,0,7,4,29,NULL,NULL,0,0,14,161
161,"2021-02-14 23:32:56",NULL,0,23,NULL,2,0,0,1,6,40,NULL,NULL,0,1,14,37
162,"2021-02-14 23:32:56",NULL,0,24,NULL,2,0,0,2,12,35,NULL,NULL,0,1,14,10
163,"2021-02-14 23:32:56",NULL,0,24,NULL,2,0,0,3,11,25,NULL,NULL,1,1,14,32
164,"2021-02-14 23:32:56",NULL,0,24,NULL,2,0,0,4,11,17,NULL,NULL,2,2,14,39
165,"2021-02-14 23:32:56",NULL,0,18,NULL,2,0,0,5,3,28,NULL,NULL,0,0,14,29
166,"2021-02-14 23:32:56",NULL,0,6,NULL,2,0,0,6,1,14,NULL,NULL,0,0,14,12
167,"2021-02-14 23:32:59",NULL,0,18,NULL,1,0,0,1,9,21,NULL,NULL,1,0,15,2
168,"2021-02-14 23:32:59",NULL,0,24,NULL,1,0,0,2,9,37,NULL,NULL,0,3,15,40
169,"2021-02-14 23:32:59",NULL,0,18,NULL,1,0,0,3,8,27,NULL,NULL,1,0,15,38
170,"2021-02-14 23:32:59",NULL,0,24,NULL,1,0,0,4,9,25,NULL,NULL,1,0,15,36
171,"2021-02-14 23:32:59",NULL,0,12,NULL,1,0,0,5,6,10,NULL,NULL,1,0,15,24
172,"2021-02-14 23:32:59",NULL,0,24,NULL,1,0,1,6,5,49,NULL,NULL,1,1,15,41
173,"2021-02-14 23:32:59",NULL,0,24,NULL,2,0,0,1,15,22,NULL,NULL,2,1,15,135
174,"2021-02-14 23:32:59",NULL,0,24,NULL,2,0,1,2,13,34,NULL,NULL,3,0,15,121
175,"2021-02-14 23:32:59",NULL,0,24,NULL,2,0,0,3,14,20,NULL,NULL,3,1,15,118
176,"2021-02-14 23:32:59",NULL,0,24,NULL,2,0,1,4,12,27,NULL,NULL,0,0,15,119
177,"2021-02-14 23:32:59",NULL,0,12,NULL,2,0,0,5,5,11,NULL,NULL,0,1,15,123
178,"2021-02-14 23:32:59",NULL,0,12,NULL,2,0,0,6,6,12,NULL,NULL,0,2,15,143
179,"2021-02-14 23:33:01",NULL,0,24,NULL,1,0,0,1,11,27,NULL,NULL,2,1,16,66
180,"2021-02-14 23:33:01",NULL,0,24,NULL,1,0,0,2,7,21,NULL,NULL,2,0,16,75
