Player,Role,Team,Year,Player Origin,Amt,Amt_inf
Shadab Jakati,Bowler,Royal Challengers Bangalore,2014,Indian,0.2,0.2893
Shahbaz Nadeem,Bowler,Delhi Daredevils,2014,Indian,0.85,1.2296
Shakib Al Hasan,All-Rounder,Kolkata Knight Riders,2014,Overseas,2.8,4.0503
Shardul Thakur,Bowler,Kings XI Punjab,2014,Indian,0.2,0.2893
Shaun Marsh,Batsman,Kings XI Punjab,2014,Overseas,2.2,3.1824
Shivam Sharma,Bowler,Kings XI Punjab,2014,Indian,0.1,0.1447
Shreyas Gopal,Bowler,Mumbai Indians,2014,Indian,0.1,0.1447
Siddarth Kaul,Bowler,Delhi Daredevils,2014,Indian,0.45,0.6509
Srikkanth Anirudha,Batsman,Sunrisers Hyderabad,2014,Indian,0.2,0.2893
Steven Smith,All-Rounder,Rajasthan Royals,2014,Overseas,4,5.7861
Suryakumar Yadav,Batsman,Kolkata Knight Riders,2014,Indian,0.7,1.0126
Sushant Marathe,Wicket Keeper,Mumbai Indians,2014,Indian,0.1,0.1447
Tanmay Mishra,Batsman,Royal Challengers Bangalore,2014,Indian,0.1,0.1447
Thisara Perera,All-Rounder,Kings XI Punjab,2014,Overseas,1.6,2.3145
Tim Southee,Bowler,Rajasthan Royals,2014,Overseas,1.2,1.7358
Umesh Yadav,Bowler,Kolkata Knight Riders,2014,Indian,2.6,3.761
Unmukt Chand,Batsman,Rajasthan Royals,2014,Indian,0.65,0.9402
Varun Aaron,Bowler,Royal Challengers Bangalore,2014,Indian,2,2.8931
Veer Pratap Singh,Bowler,Kolkata Knight Riders,2014,Indian,0.4,0.5786
Venugopal Rao,Batsman,Sunrisers Hyderabad,2014,Indian,0.55,0.7956
Vijay Shankar,All-Rounder,Chennai Super Kings,2014,Indian,0.1,0.1447
Vijay Zol,Batsman,Royal Challengers Bangalore,2014,Indian,0.3,0.434
Vikramjeet Malik,Bowler,Rajasthan Royals,2014,Indian,0.2,0.2893
Virender Sehwag,Batsman,Kings XI Punjab,2014,Indian,3.2,4.6289
Wayne Parnell,Bowler,Delhi Daredevils,2014,Overseas,1,1.4465
Wriddhiman Saha,Wicket Keeper,Kings XI Punjab,2014,Indian,2.2,3.1824
Yogesh Takawale,Wicket Keeper,Royal Challengers Bangalore,2014,Indian,0.1,0.1447
Yusuf Pathan,All-Rounder,Kolkata Knight Riders,2014,Indian,3.25,4.7012
Yuvraj Singh,All-Rounder,Royal Challengers Bangalore,2014,Indian,14,20.2515
Yuzvendra Singh Chahal,Bowler,Royal Challengers Bangalore,2014,Indian,0.1,0.1447
Zaheer Khan,Bowler,Mumbai Indians,2014,Indian,2.6,3.761
Aaron Finch,Batsman,Mumbai Indians,2015,Overseas,3.2,4.4127
Abhimanyu Mithun,Bowler,Mumbai Indians,2015,Indian,0.3,0.4137
Adam Milne,Bowler,Royal Challengers Bangalore,2015,Overseas,0.7,0.9653
Aditya Garhwal,All-Rounder,Kolkata Knight Riders,2015,Indian,0.25,0.3447
Aiden Blizzard,Batsman,Mumbai Indians,2015,Overseas,0.3,0.4137
Akshay Wakhare,Bowler,Mumbai Indians,2015,Indian,0.1,0.1379
Albie Morkel,All-Rounder,Delhi Daredevils,2015,Overseas,0.3,0.4137
Amit Mishra,Bowler,Delhi Daredevils,2015,Indian,3.5,4.8264
Andrew Tye,Bowler,Chennai Super Kings,2015,Overseas,0.2,0.2758
Angelo Mathews,All-Rounder,Delhi Daredevils,2015,Overseas,7.5,10.3422
Ankush Bains,Wicket Keeper,Chennai Super Kings,2015,Indian,0.1,0.1379
Barinder Singh Saran,Bowler,Rajasthan Royals,2015,Indian,0.1,0.1379
Brad Hogg,Bowler,Kolkata Knight Riders,2015,Overseas,0.5,0.6895
C.M. Gautam,Wicket Keeper,Delhi Daredevils,2015,Indian,0.2,0.2758
