Player,Role,Team,Year,Player Origin,Amt,Amt_inf
Chris Jordan,All-Rounder,Kings XI Punjab,2020,Overseas,3,3.3213
Chris Lynn,Batsman,Mumbai Indians,2020,Overseas,2,2.2142
Chris Woakes,All-Rounder,Delhi Capitals,2020,Overseas,1.5,1.6607
Christopher Morris,All-Rounder,Royal Challengers Bangalore,2020,Overseas,10,11.0711
Dale Steyn,Bowler,Royal Challengers Bangalore,2020,Overseas,2,2.2142
David Miller,Batsman,Rajasthan Royals,2020,Overseas,0.75,0.8303
Deepak Hooda,All-Rounder,Kings XI Punjab,2020,Indian,0.5,0.5536
Digvijay Deshmukh,All-Rounder,Mumbai Indians,2020,Indian,0.2,0.2214
Eoin Morgan,Batsman,Kolkata Knight Riders,2020,Overseas,5.25,5.8123
Fabian Allen,All-Rounder,Sunrisers Hyderabad,2020,Overseas,0.5,0.5536
Glenn Maxwell,All-Rounder,Kings XI Punjab,2020,Overseas,10.75,11.9015
Isuru Udana,All-Rounder,Royal Challengers Bangalore,2020,Overseas,0.5,0.5536
James Neesham,All-Rounder,Kings XI Punjab,2020,Overseas,0.5,0.5536
Jason Roy,Batsman,Delhi Capitals,2020,Overseas,1.5,1.6607
Jaydev Unadkat,Bowler,Rajasthan Royals,2020,Indian,3,3.3213
Josh Hazlewood,Bowler,Chennai Super Kings,2020,Overseas,2,2.2142
Joshua Philippe,Wicket Keeper,Royal Challengers Bangalore,2020,Overseas,0.2,0.2214
Kane Richardson,Bowler,Royal Challengers Bangalore,2020,Overseas,4,4.4285
Kartik Tyagi,Bowler,Rajasthan Royals,2020,Indian,1.3,1.4392
Lalit Yadav,All-Rounder,Delhi Capitals,2020,Indian,0.2,0.2214
M Siddharth,Bowler,Kolkata Knight Riders,2020,Indian,0.2,0.2214
Marcus Stoinis,All-Rounder,Delhi Capitals,2020,Overseas,4.8,5.3141
Mitchell Marsh,All-Rounder,Sunrisers Hyderabad,2020,Overseas,2,2.2142
Mohit Sharma,Bowler,Delhi Capitals,2020,Indian,0.5,0.5536
Mohsin Khan,Bowler,Mumbai Indians,2020,Indian,0.2,0.2214
Nathan Coulter-Nile,Bowler,Mumbai Indians,2020,Overseas,8,8.8569
Nikhil Shankar Naik,Wicket Keeper,Kolkata Knight Riders,2020,Indian,0.2,0.2214
Oshane Thomas,Bowler,Rajasthan Royals,2020,Overseas,0.5,0.5536
Pat Cummins,All-Rounder,Kolkata Knight Riders,2020,Overseas,15.5,17.1603
Pavan Deshpande,All-Rounder,Royal Challengers Bangalore,2020,Indian,0.2,0.2214
Piyush Chawla,Bowler,Chennai Super Kings,2020,Indian,6.75,7.473
Prabhsimran Singh,Wicket Keeper,Kings XI Punjab,2020,Indian,0.55,0.6089
Pravin Tambe,Bowler,Kolkata Knight Riders,2020,Indian,0.2,0.2214
Prince Balwant Rai Singh,All-Rounder,Mumbai Indians,2020,Indian,0.2,0.2214
Priyam Garg,Batsman,Sunrisers Hyderabad,2020,Indian,1.9,2.1035
R. Sai Kishore,Bowler,Chennai Super Kings,2020,Indian,0.2,0.2214
Rahul Tripathi,Batsman,Kolkata Knight Riders,2020,Indian,0.6,0.6643
Ravi Bishnoi,Bowler,Kings XI Punjab,2020,Indian,2,2.2142
Robin Uthappa,Batsman,Rajasthan Royals,2020,Indian,3,3.3213
Sam Curran,All-Rounder,Chennai Super Kings,2020,Overseas,5.5,6.0891
Sandeep Bavanaka,All-Rounder,Sunrisers Hyderabad,2020,Overseas,0.2,0.2214
Sanjay Yadav,All-Rounder,Sunrisers Hyderabad,2020,Indian,0.2,0.2214
Saurabh Tiwary,Batsman,Mumbai Indians,2020,Indian,0.5,0.5536
Shahbaz Ahamad,Wicket Keeper,Royal Challengers Bangalore,2020,Indian,0.2,0.2214
Sheldon Cottrell,Bowler,Kings XI Punjab,2020,Overseas,8.5,9.4105
Shimron Hetmyer,Batsman,Delhi Capitals,2020,Overseas,7.75,8.5801
Tajinder Dhillon,All-Rounder,Kings XI Punjab,2020,Indian,0.2,0.2214
Tom Banton,Batsman,Kolkata Knight Riders,2020,Overseas,1,1.1071
Tom Curran,All-Rounder,Rajasthan Royals,2020,Overseas,1,1.1071
Tushar Deshpande,Bowler,Delhi Capitals,2020,Indian,0.2,0.2214
Varun Chakaravarthy,All-Rounder,Kolkata Knight Riders,2020,Indian,4,4.4285
Virat Singh,Batsman,Sunrisers Hyderabad,2020,Indian,1.9,2.1035
Yashasvi Jaiswal,All-Rounder,Rajasthan Royals,2020,Indian,2.4,2.6571
Adam Milne,Bowler,Mumbai Indians,2021,Overseas,3.2,3.3562
Akash Singh,Bowler,Rajasthan Royals,2021,Indian,0.2,0.2098
Arjun Tendulkar,All-Rounder,Mumbai Indians,2021,Indian,0.2,0.2098
Ben Cutting,All-Rounder,Kolkata Knight Riders,2021,Overseas,0.75,0.7866
C Hari Nishaanth,Batsman,Chennai Super Kings,2021,Indian,0.2,0.2098
Chetan Sakariya,Bowler,Rajasthan Royals,2021,Indian,1.2,1.2586
Cheteshwar Pujara,Batsman,Chennai Super Kings,2021,Indian,0.5,0.5244
Christopher Morris,All-Rounder,Rajasthan Royals,2021,Overseas,16.25,17.043
Dan Christian,All-Rounder,Royal Challengers Bangalore,2021,Overseas,4.8,5.0342
Dawid Malan,All-Rounder,Punjab Kings,2021,Overseas,1.5,1.5732
Fabian Allen,All-Rounder,Punjab Kings,2021,Overseas,0.75,0.7866
Glenn Maxwell,All-Rounder,Royal Challengers Bangalore,2021,Overseas,14.25,14.9454
Harbhajan Singh,Bowler,Kolkata Knight Riders,2021,Indian,2,2.0976
J Suchith,Bowler,Sunrisers Hyderabad,2021,Indian,0.3,0.3146
Jalaj Saxena,All-Rounder,Punjab Kings,2021,Indian,0.3,0.3146
James Neesham,All-Rounder,Mumbai Indians,2021,Overseas,0.5,0.5244
Jhye Richardson,Bowler,Punjab Kings,2021,Overseas,14,14.6832
K.Bhagath Varma,All-Rounder,Chennai Super Kings,2021,Indian,0.2,0.2098
K.C Cariappa,Bowler,Rajasthan Royals,2021,Indian,0.2,0.2098
Karun Nair,Batsman,Kolkata Knight Riders,2021,Indian,0.5,0.5244
Kedar Jadhav,All-Rounder,Sunrisers Hyderabad,2021,Indian,2,2.0976
Kona Srikar Bharat,Wicket Keeper,Royal Challengers Bangalore,2021,Indian,0.2,0.2098
Krishnappa Gowtham,All-Rounder,Chennai Super Kings,2021,Indian,9.25,9.7014
Kuldip Yadav,Bowler,Rajasthan Royals,2021,Indian,0.2,0.2098
Kyle Jamieson,All-Rounder,Royal Challengers Bangalore,2021,Overseas,15,15.732
Liam Livingstone,All-Rounder,Rajasthan Royals,2021,Overseas,0.75,0.7866
Lukman Hussain Meriwala,Bowler,Delhi Capitals,2021,Indian,0.2,0.2098
M Siddharth,Bowler,Delhi Capitals,2021,Indian,0.2,0.2098
M. Harisankar Reddy,Bowler,Chennai Super Kings,2021,Indian,0.2,0.2098
Marco Jansen,All-Rounder,Mumbai Indians,2021,Overseas,0.2,0.2098
Moeen Ali,All-Rounder,Chennai Super Kings,2021,Overseas,7,7.3416
Mohammed Azharudeen,Wicket Keeper,Royal Challengers Bangalore,2021,Indian,0.2,0.2098
Moises Henriques,All-Rounder,Punjab Kings,2021,Overseas,4.2,4.405
Mujeeb Zadran,Bowler,Sunrisers Hyderabad,2021,Overseas,1.5,1.5732
Mustafizur Rahman,Bowler,Rajasthan Royals,2021,Overseas,1,1.0488
Nathan Coulter-Nile,Bowler,Mumbai Indians,2021,Overseas,5,5.244
Pawan Negi,All-Rounder,Kolkata Knight Riders,2021,Indian,0.5,0.5244
Piyush Chawla,Bowler,Mumbai Indians,2021,Indian,2.4,2.5171
Rajat Patidar,Batsman,Royal Challengers Bangalore,2021,Indian,0.2,0.2098
Riley Meredith,Bowler,Punjab Kings,2021,Overseas,8,8.3904
Ripal Patel,All-Rounder,Delhi Capitals,2021,Indian,0.2,0.2098
Sachin Baby,Batsman,Royal Challengers Bangalore,2021,Indian,0.2,0.2098
Sam Billings,Wicket Keeper,Delhi Capitals,2021,Overseas,2,2.0976
Saurabh Kumar,All-Rounder,Punjab Kings,2021,Indian,0.2,0.2098
Shahrukh Khan,All-Rounder,Punjab Kings,2021,Indian,5.25,5.5062
Shakib Al Hasan,All-Rounder,Kolkata Knight Riders,2021,Overseas,3.2,3.3562
Sheldon Jackson,Wicket Keeper,Kolkata Knight Riders,2021,Indian,0.2,0.2098
Shivam Dube,All-Rounder,Rajasthan Royals,2021,Indian,4.4,4.6147
Steven Smith,Batsman,Delhi Capitals,2021,Overseas,2.2,2.3074
Suyash Prabhudesai,All-Rounder,Royal Challengers Bangalore,2021,Indian,0.2,0.2098
Tom Curran,All-Rounder,Delhi Capitals,2021,Overseas,5.25,5.5062
Umesh Yadav,Bowler,Delhi Capitals,2021,Indian,1,1.0488
Utkarsh Singh,All-Rounder,Punjab Kings,2021,Indian,0.2,0.2098
Vaibhav Arora,Bowler,Kolkata Knight Riders,2021,Indian,0.2,0.2098
Venkatesh Iyer,All-Rounder,Kolkata Knight Riders,2021,Indian,0.2,0.2098
Vishnu Vinod,Wicket Keeper,Delhi Capitals,2021,Indian,0.2,0.2098
Yudhvir Charak,All-Rounder,Mumbai Indians,2021,Indian,0.2,0.2098
